default,student,balance,income
0,No,729.5264952,44361.62507
0,Yes,817.1804066,12106.1347
0,No,1073.549164,31767.13895
0,No,529.2506047,35704.49394
0,No,785.6558829,38463.49588
0,Yes,919.5885305,7491.558572
0,No,825.5133305,24905.22658
0,Yes,808.6675043,17600.45134
0,No,1161.057854,37468.52929
0,No,0,29275.26829
0,Yes,0,21871.07309
0,Yes,1220.583753,13268.56222
0,No,237.045114,28251.69534
0,No,606.7423433,44994.55585
0,No,1112.968401,23810.17405
0,No,286.2325601,45042.41304
0,No,0,50265.31235
0,Yes,527.5401841,17636.53962
0,No,485.9368642,61566.10612
0,No,1095.072735,26464.63139
0,No,228.9525496,50500.1822
0,No,954.2617928,32457.50908
0,No,1055.956605,51317.88308
0,No,641.9843888,30466.10326
0,No,773.2117245,34353.31431
0,No,855.0085225,25211.33216
0,No,642.9997385,41473.5118
0,No,1454.863272,32189.09495
0,No,615.7042766,39376.39462
0,Yes,1119.569353,16556.07021
0,No,494.8162288,54384.78284
0,Yes,448.8806563,15799.47041
0,Yes,584.9048947,22429.93505
0,No,913.5871726,46907.2254
0,Yes,1423.938917,22634.48809
0,Yes,1499.724657,13190.65272
0,No,692.0341671,47806.61177
0,No,351.4534715,35087.48865
0,No,742.6276208,37864.82394
0,No,653.1184001,39489.5947
0,No,872.1386795,41787.56727
0,No,837.2626228,51471.77209
0,No,1151.630566,42917.46956
0,Yes,220.5556084,16872.94756
0,Yes,1690.23441,19052.57222
0,No,408.7729143,54206.93921
0,No,1238.610321,50066.68053
0,No,1228.30835,37408.50387
0,No,820.9192041,47746.54207
0,No,857.4851178,31688.34597
0,No,563.6181772,42641.25327
0,Yes,1282.972534,13120.63647
0,Yes,1505.782675,26557.14145
0,Yes,904.0402591,16882.30061
0,No,0,49956.58057
0,Yes,1294.497347,10464.32073
0,Yes,1275.550633,15887.46849
0,No,1536.594601,48766.90746
0,No,1332.522644,39143.13707
0,No,492.0797678,33379.0946
0,No,766.2343793,46478.29426
0,No,690.1272462,63432.98425
0,No,0,32481.54005
0,No,1480.655309,36866.15707
0,No,989.055597,45344.25132
0,No,1302.341835,33695.42623
0,No,1044.552343,54696.76598
0,No,0,43658.22772
0,No,866.0284364,38363.42163
0,No,690.8007924,48140.47134
0,No,597.757142,31577.61513
0,No,429.4854023,51311.2181
0,No,1398.156201,39644.94219
0,Yes,1578.064099,19886.49395
0,No,857.0690531,26655.68897
0,Yes,752.459946,16211.27579
0,Yes,774.738427,15193.73314
0,No,728.3732513,45131.71826
0,No,76.99129053,28392.09341
0,No,196.4569131,41346.78591
0,Yes,948.7479184,14297.61905
0,No,431.9208853,39369.88156
0,No,461.6381822,46221.21149
0,No,572.0157602,33046.31296
0,No,335.5681447,51258.44423
0,No,510.2375932,60397.71865
0,Yes,1005.161306,24038.65204
0,Yes,162.4544511,13241.75206
0,No,932.5331557,50537.46565
0,Yes,893.3304676,11905.68179
0,No,1332.782564,44495.16276
0,No,1404.383069,35043.10603
0,Yes,1148.965139,16578.19212
0,No,368.2234257,57596.82584
0,No,449.4666288,45950.66672
0,No,820.0171126,51584.65732
0,Yes,619.7518686,15750.62208
0,No,1047.718124,46416.97099
0,No,243.8413283,47193.88813
0,No,186.5003869,45430.55027
0,No,1422.018488,38224.03152
0,No,383.798659,61425.28639
0,No,1159.435096,45802.10494
0,No,882.9919126,17181.73797
0,No,1463.232892,65457.85419
0,Yes,1722.355846,19311.42294
0,Yes,773.9218613,14558.91214
0,No,958.1694185,32816.2848
0,No,1207.53273,68037.57513
0,No,1056.61083,30546.60103
0,No,117.6424839,46550.26727
0,No,596.9641192,58088.36045
0,No,0,47729.62576
0,Yes,541.6627553,16335.70344
0,No,1119.178303,45020.01912
0,Yes,810.3209365,20498.66581
0,No,271.5514377,32850.12014
0,No,1114.403237,47714.02211
0,No,867.0308281,33540.97998
0,Yes,1176.789402,17632.7121
0,No,610.2278187,42465.36296
0,No,272.6156617,55449.33864
0,No,449.7350858,49643.42644
0,Yes,827.7672094,10673.52623
0,No,430.0000994,33925.2196
0,No,0,31825.76497
0,Yes,1557.344637,18404.59419
0,No,928.2369663,33722.15894
0,No,1373.450163,49101.79821
0,Yes,951.0729075,18601.53324
0,Yes,1292.210869,23065.85098
0,No,582.1887007,24760.79573
0,Yes,339.4246383,19307.98029
0,No,409.9823246,44641.09012
0,No,1216.45151,53639.84683
0,No,598.4613921,44124.26811
1,Yes,1486.998122,17854.39703
0,No,943.7963387,59976.83987
0,No,0,49525.74502
0,Yes,996.2760868,20883.24077
0,Yes,748.3013404,11248.67075
0,No,324.7379218,15411.51857
0,Yes,575.3821585,16005.68132
0,No,441.7382849,36012.2359
0,No,1188.64218,39526.56127
0,No,95.14768019,51371.19991
0,No,1015.614837,43218.79438
0,No,1258.567393,44931.67492
0,Yes,1178.244414,7750.289221
0,No,731.5326563,43956.06008
0,No,350.0887921,44455.19952
0,No,418.8483454,36901.78333
0,No,533.2294652,39393.54248
0,No,95.29697413,32359.38903
0,Yes,1453.005932,15933.00211
0,No,352.644414,39404.74437
0,Yes,736.2389355,14107.99397
0,No,1306.484572,41224.62502
0,No,1149.145627,45194.79466
0,No,703.2268907,57679.27914
0,Yes,1360.800435,18864.30849
0,No,31.44508054,53287.3503
0,No,988.2144581,48570.36346
0,No,360.0190736,23927.54661
0,No,647.4835286,33226.27754
0,Yes,0,9816.789438
0,No,445.2418192,31974.62451
0,Yes,878.5420645,17496.74148
0,Yes,335.8341186,21759.87027
0,No,666.6088814,30438.46883
0,No,813.876647,40737.45978
0,No,836.3000716,54607.17874
0,No,967.4826837,33055.11027
1,Yes,2205.799521,14271.49225
0,Yes,1258.185219,11672.222
0,No,1239.801699,40107.17221
0,Yes,0,13760.29846
0,Yes,927.8877323,22473.37961
0,Yes,1390.030783,21299.09923
0,No,410.4977048,53471.21363
0,No,73.07654218,30681.73754
0,No,790.5977592,45303.10331
0,No,789.495097,32579.90021
0,No,791.3604221,46319.23612
0,No,479.042379,37255.88033
0,No,888.6132726,28899.79175
0,No,1284.386361,42831.95462
0,Yes,712.2763513,23341.95023
0,Yes,1290.620169,18408.04908
0,No,126.3626854,44280.92979
0,No,779.3762577,61158.88511
0,No,697.4909575,49476.7596
0,No,606.9746135,43610.03302
0,Yes,1802.903334,21411.42395
0,No,900.0853326,41276.56319
0,No,966.280288,33440.9793
0,No,671.0613596,35689.11187
0,No,171.559116,23505.99277
0,No,1482.4803,45260.6116
0,No,640.6627517,46464.56593
0,Yes,706.1610275,18078.35179
1,Yes,1774.694223,20359.50609
0,No,916.4993169,25768.40745
0,No,1271.270812,36053.50295
0,No,110.5729098,47339.10875
0,No,1747.258882,37819.28909
1,No,1889.59919,48956.17159
0,No,27.20139465,21051.84013
0,No,746.2297751,35159.85023
1,Yes,1899.390626,20655.2
0,Yes,813.9945655,20391.52895
0,No,499.4578151,38899.16046
0,No,853.1613317,36272.45178
0,No,474.7273191,32064.33511
0,No,1235.876113,35838.77702
0,No,620.6751526,44213.7701
0,No,220.0285698,37880.02965
0,Yes,1304.914299,18074.07542
0,Yes,1608.15256,22358.0467
0,No,256.4712276,37657.05592
0,Yes,1153.604998,19224.97523
0,No,771.8958745,31170.08528
0,Yes,1099.630422,17064.04283
0,No,782.8830297,40357.13343
0,No,444.2649062,35924.33879
0,No,504.0283787,24780.96124
0,No,1762.503402,42124.66007
0,Yes,850.0961166,18618.98791
0,No,1412.238721,40785.05977
0,No,715.4968296,47482.56538
0,No,1363.528599,55713.04161
0,No,493.2418898,42495.20308
0,No,1354.752537,33375.13169
0,Yes,571.293911,15416.26935
0,No,956.1513522,44086.70773
0,No,964.820253,34390.74604
0,No,552.634366,50513.16424
0,No,338.2662016,37767.23986
0,No,709.1233514,44041.63009
0,No,978.9782004,57839.05373
0,No,371.0101278,15702.70708
1,Yes,1572.856481,14930.17833
0,No,0,40150.21798
1,No,1964.476872,39054.58914
0,No,548.0377834,33605.64947
0,No,1257.055222,34045.00882
0,No,1189.918057,38016.8939
0,No,687.683759,39373.57975
0,No,845.6989658,39899.51268
0,Yes,957.6848338,19676.34565
0,No,233.5168463,43326.10538
0,Yes,1126.948744,14298.26457
0,Yes,488.8551765,15159.49485
0,No,767.9035598,44323.57966
0,No,561.9257991,31388.50565
0,Yes,1092.270013,17454.60184
0,No,71.788683,31965.74471
0,Yes,1839.143682,13625.39793
0,Yes,876.0007779,22474.57409
0,No,554.1078115,30357.02598
0,No,891.3178981,43945.04165
0,No,464.8363331,27324.89969
0,Yes,563.5426611,24082.03934
1,No,1530.353157,30003.81715
0,No,990.5670262,41690.25262
0,No,590.3997865,42769.20388
0,Yes,715.1641096,21153.51101
0,No,1540.377727,41852.07844
0,No,1243.326518,41639.68038
0,Yes,235.3284999,20909.70475
0,No,528.2543232,49394.34077
0,No,592.2538956,30731.2016
0,No,705.204972,42683.18724
0,No,456.515644,48195.77584
0,Yes,470.7175747,18052.105
0,Yes,1503.07513,10600.41354
0,No,1362.965595,44217.91604
0,No,908.7715737,45032.84599
0,Yes,1096.820272,16148.06001
0,No,369.2219425,47835.09105
0,No,673.399899,50256.29021
0,No,1038.500008,51173.14138
0,No,0,28762.92378
0,No,527.1940866,32431.11826
0,No,817.4693368,32974.42735
0,Yes,1549.042755,19702.29321
0,Yes,566.7137894,11853.95317
0,No,1496.056465,24935.91874
0,No,862.6566564,42844.834
0,No,1259.149418,31263.64108
0,No,1025.038833,43510.04964
0,Yes,703.2777871,14793.74268
0,Yes,1082.391497,15175.36121
0,No,910.4490235,44054.91642
0,Yes,996.5438622,16995.6604
0,No,353.778226,58514.31808
0,Yes,782.7108275,13300.29747
0,No,1716.595418,51056.86829
0,Yes,502.8986384,15153.96576
0,No,1033.468469,59203.96766
0,No,0,34925.36541
0,Yes,1087.083499,19263.76958
0,No,1047.244249,43899.75925
0,No,1056.927353,38367.86795
0,Yes,979.2244246,26010.8878
0,Yes,847.8187063,15978.63363
0,No,781.7712848,50958.79051
0,Yes,402.4888868,15904.05592
0,No,204.7401817,17534.29054
0,Yes,2022.674643,18336.74317
0,No,748.9370638,44186.61776
0,No,838.2756878,35917.49061
0,No,386.0160493,44694.03096
0,No,812.3992965,49623.10098
0,Yes,1809.926564,6985.135945
0,No,0,30360.54894
0,Yes,1328.183804,24688.47372
0,Yes,1464.936049,26716.68637
0,No,1200.565138,39718.69266
0,No,989.68642,27856.57706
0,No,870.7345799,35539.27022
0,Yes,1200.84739,19849.83141
0,Yes,1428.832047,23204.68146
0,No,0,33951.28873
0,Yes,359.4588665,21783.26949
0,No,265.6839498,40862.75401
0,No,1027.770532,44406.83691
0,No,729.0474335,35042.133
0,No,1042.80492,25867.14772
0,No,230.2305879,37875.61482
0,No,367.4660122,30611.27227
0,Yes,737.7053539,20863.79967
0,No,18.26128536,30349.46042
0,No,1257.760209,30834.77137
0,No,455.5215132,40907.39835
0,No,56.96756035,35458.48156
0,Yes,723.9319853,12213.03714
0,No,612.3831577,41379.76781
0,Yes,1220.177606,15308.12707
0,No,1222.347692,32363.37105
0,No,1165.491138,47684.21945
1,No,1642.819997,46856.94704
0,No,944.17356,56088.6838
0,No,749.6080039,41423.94117
0,No,370.3751868,31231.00784
